Post Malone feat. 21 Savage,rockstar,Russia,2017
Merk & Kremont,Sad Story (Out Of Luck),Russia,2017
ZAYN,Dusk Till Dawn ft. Sia,Russia,2017
Imagine Dragons,Whatever It Takes,Russia,2017
Katy Perry,Roulette,Russia,2017
Sherrie Sherrie & The Ware,Nana Song (ft. Nina),Russia,2017
Kaleo,Way Down We Go,Russia,2017
Jaded,In The Morning,Russia,2017
T-Fest,Улети,Russia,2017
Ofenbach vs. Nick Waterhouse,Katchi,Russia,2017
LP,Suspicion (Going Deeper Remix),Russia,2017
Dua Lipa,New Rules,Russia,2017
Сергей Лазарев,Так красиво (Rock & Rave Remix),Russia,2017
L.B. ONE feat. Laenz,Tired Bones,Russia,2017
David Guetta & Afrojack,Dirty Sexy Money feat. Charli XCX & French Montana,Russia,2017
Kush Kush,Fight Back With Love Tonight,Russia,2017
Элджей & Feduk,Розовое вино,Russia,2017
Imagine Dragons,Thunder,Russia,2017
SOFI TUKKER,"Best Friend feat. NERVO, The Knocks & Alisa Ueno",Russia,2017
"J. Balvin, Willy William",Mi Gente,Russia,2017
JP Cooper,She's On My Mind,Russia,2017
"Luis Fonsi, Demi Lovato",Échame La Culpa,Russia,2017
Alice Merton,No Roots,Russia,2017
Axwell /\ Ingrosso,More Than You Know,Russia,2017
Klingande,Pumped Up,Russia,2017
Flying Decibels,The Road (Effective Radio Remix),Russia,2017
Tim3bomb,La Cancion,Russia,2017
Deepend ft. Graham Candy,Waiting For The Summer,Russia,2017
Mari Ferrari,"Maria, Maria (feat. Miss Mary)",Russia,2017
DJ Snake,A Different Way (feat. Lauv),Russia,2017
Kadebostany,Mind if I Stay (Astero mix),Russia,2017
Vanotek feat. Eneli,Tell Me Who,Russia,2017
Robin Schulz feat. James Blunt,Ok,Russia,2017
Charlie Puth,Attention,Russia,2017
Yellow Claw & DJ Snake,Good Day,Russia,2017
Matvey Emerson & Astero,Blame,Russia,2017
Portugal. The Man,Feel It Still,Russia,2017
Dennis Lloyd,Nevermind (Pure Poison Remix),Russia,2017
Alesso,Falling,Russia,2017
The Chainsmokers & Coldplay,Something Just Like This,Russia,2017
